ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),Weight,Cap,Flag
DE000A2AADD2,,21838.34205,,,,,,Common stock,,,4.447219604,,,,,,,,,6.0,1,0
DK0060094928,,18952.87685,,,,,,Common stock,,,1.8909735540000001,,,,,,,,,2.0,1,1
AU000000AGL7,,12831.088520000001,,,,,,Common stock,,,3.0199761,,,,,,,,,6.0,1,0
US29274F1049,,11000.095,,,,,,Common stock,,,2.268695652,,,,,,,,,6.0,1,0
BREGIEACNOR9,,6682.566419,,,,,,Common stock,,,6.801682236,,,,,,,,,6.0,1,0
US29244T1016,,6189.5914840000005,,,,,,Common stock,,,5.035441696,,,,,,,,,6.0,1,0
NZMELE0002S7,,5465.338124,,,,,,Common stock,,,6.995609898,,,,,,,,,5.7938462551456835,1,0
US7821834048,,5456.49664,,,,,,Common stock,,,3.3409375,,,,,,,,,4.5,3,2
BMG162581083,,5315.227459000001,,,,,,Common stock,,,5.734454717,,,,,,,,,4.5,3,2
US4511071064,,4300.87185,,,,,,Common stock,,,2.530755712,,,,,,,,,4.5,3,2
US4198701009,,3521.325,,,,,,Common stock,,,3.829524398,,,,,,,,,4.397165642633121,0,0
IT0001207098,,3223.2449070000002,,,,,,Common stock,,,4.574902048999999,,,,,,,,,4.02494565620969,0,0
CA6665111002,,3072.5437190000002,,,,,,Common stock,,,4.567410113,,,,,,,,,3.836761354511439,0,0
US6680743050,,2956.1139,,,,,,Common stock,,,3.359554245,,,,,,,,,3.6913725591333373,0,0
CA0158571053,,2880.56092,,,,,,Common stock,,,4.231962245,,,,,,,,,3.597027683879123,0,0
US05379B1070,,2733.91448,,,,,,Common stock,,,3.297220914,,,,,,,,,3.4139066463201186,0,0
CA8934631091,,2702.5949969999997,,,,,,Common stock,,,5.496899482000001,,,,,,,,,3.374797233075776,0,0
CNE100000HD4,,2430.21659,,,,,,Common stock,,,1.718640033,,,,,,,,,2.0,2,1
GB00BLP5YB54,,2140.63512,,,,,,Common stock,,,4.461610487,,,,,,,,,2.673064032169091,0,0
IT0001157020,,2110.518655,,,,,,Common stock,,,4.005826709,,,,,,,,,2.6354568572631782,0,0
US70338P1003,,2088.78928,,,,,,Common stock,,,6.878145973,,,,,,,,,2.6083228491310435,0,0
US65341B1061,,2006.2266300000001,,,,,,Common stock,,,3.7543930789999997,,,,,,,,,2.505224825533465,0,0
CNE100000WS1,,1553.234019,,,,,,Common stock,,,1.952097554,,,,,,,,,1.9395617454554062,0,0
CA09950M3003,,1282.969855,,,,,,Common stock,,,2.589638248,,,,,,,,,1.6020761977210274,0,0
CA45790B1040,,1190.738002,,,,,,Common stock,,,4.445687792,,,,,,,,,1.4869040011279866,0,0
US41068X1000,,1181.34985,,,,,,Common stock,,,5.509400962000001,,,,,,,,,1.4751807834692312,0,0
ES0105058004,,921.2144161,,,,,,Common stock,,,7.26179037,,,,,,,,,1.1503432315884647,0,0
US3932221043,,822.2055,,,,,,Common stock,,,2.335766423,,,,,,,,,1.0267083486426234,0,0
US62942X3061,,590.03716,,,,,,Common stock,,,5.978898007000001,,,,,,,,,0.7367939988012525,0,0
US2825391053,,424.86553,,,,,,Common stock,,,4.931262393,,,,,,,,,0.5305400981889236,0,0
