ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US8636671013,,,,,,,,Pure Play,Large Cap,,,,,,,0.041706161137440766
US0162551016,,,,,,,,Pure Play,Large Cap,,,,,,,0.041706161137440766
US2521311074,,,,,,,,Pure Play,Large Cap,,,,,,,0.041706161137440766
DE0005785604,,,,,,,,Pure Play,Large Cap,,,,,,,0.041706161137440766
US83175M2052,,,,,,,,Pure Play,Large Cap,,,,,,,0.041706161137440766
US1011371077,,,,,,,,Pure Play,Large Cap,,,,,,,0.041706161137440766
US46120E6023,,,,,,,,Pure Play,Large Cap,,,,,,,0.041706161137440766
JP3837800006,,,,,,,,Quasi Play,Large Cap,,,,,,,0.03601895734597157
US4364401012,,,,,,,,Quasi Play,Large Cap,,,,,,,0.03601895734597157
IE00BTN1Y115,,,,,,,,Quasi Play,Large Cap,,,,,,,0.03601895734597157
US6707041058,,,,,,,,Pure Play,Mid Cap,,,,,,,0.03728813559322035
US45784P1012,,,,,,,,Pure Play,Mid Cap,,,,,,,0.03728813559322035
IT0004056880,,,,,,,,Pure Play,Mid Cap,,,,,,,0.03728813559322035
US87918A1051,,,,,,,,Pure Play,Mid Cap,,,,,,,0.03728813559322035
DE0005313704,,,,,,,,Pure Play,Mid Cap,,,,,,,0.03728813559322035
AU000000COH5,,,,,,,,Pure Play,Mid Cap,,,,,,,0.03728813559322035
NZFAPE0001S2,,,,,,,,Pure Play,Mid Cap,,,,,,,0.03728813559322035
US24906P1093,,,,,,,,Pure Play,Mid Cap,,,,,,,0.03728813559322035
US5747951003,,,,,,,,Pure Play,Mid Cap,,,,,,,0.03728813559322035
JP3706800004,,,,,,,,Quasi Play,Mid Cap,,,,,,,0.03220338983050848
DK0060946788,,,,,,,,Quasi Play,Mid Cap,,,,,,,0.03220338983050848
JP3311530004,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US67072V1035,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
IL0011267213,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US6323071042,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US0043971052,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
BMG4639H1227,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US2321091082,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US4500561067,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US92672L1070,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
FR0011341205,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
KR7214150005,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US4577301090,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US46121H1095,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
JP3642500007,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US64131A1051,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US68752L1008,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US81255T1088,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US89853L1044,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
DE000STRA555,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US89366M2017,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US68620A1043,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US2187301096,,,,,,,,Pure Play,Small Cap,,,,,,,0.007357859531772575
US2074101013,,,,,,,,Quasi Play,Small Cap,,,,,,,0.006354515050167223
TW0004736004,,,,,,,,Quasi Play,Small Cap,,,,,,,0.006354515050167223
US92214X1063,,,,,,,,Quasi Play,Small Cap,,,,,,,0.006354515050167223
JP3630400004,,,,,,,,Quasi Play,Small Cap,,,,,,,0.006354515050167223
BE0003755692,,,,,,,,Quasi Play,Small Cap,,,,,,,0.006354515050167223
US88554D2053,,,,,,,,Quasi Play,Small Cap,,,,,,,0.006354515050167223
