ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US00508Y1029,,10122.29652,,,,,,,,,,,,,,0.9174230561848788
JP3278600006,,3167.470535,,,,,,,,,,,,,,0.5
ES0143416115,,3894.1223119999995,,,,,,,,,,,,,,0.5
US9291601097,,12623.34411,,,,,,,,,,,,,,1.1441027152077132
JP3566800003,,27102.87777,,,,,,,,,,,,,,2.4564391001616905
US26969P1084,,2869.895443,,,,,,,,,,,,,,0.5
US29084Q1004,,2931.911902,,,,,,,,,,,,,,0.5
JP3210200006,,5184.088263000001,,,,,,,,,,,,,,0.5
JP3774200004,,7119.873195,,,,,,,,,,,,,,0.6453017665803072
CA13645T1003,,19601.69596,,,,,,,,,,,,,,1.776577852515823
JP3358800005,,4565.1687520000005,,,,,,,,,,,,,,0.5
JP3190000004,,5059.558543,,,,,,,,,,,,,,0.5
JP3597800006,,4308.978453,,,,,,,,,,,,,,0.5
JP3783600004,,28066.22346,,,,,,,,,,,,,,2.5437508624022156
US5732841060,,8972.738789,,,,,,,,,,,,,,0.8132341732815577
US88162G1031,,1524.68539,,,,,,,,,,,,,,0.5
HK0257001336,,3351.1531440000003,,,,,,,,,,,,,,0.5
JP3443600006,,6238.537966,,,,,,,,,,,,,,0.5654229310102364
US9604131022,,2068.0623149999997,,,,,,,,,,,,,,0.5
JP3600200004,,2649.352356,,,,,,,,,,,,,,0.5
BMG2113B1081,,2390.483378,,,,,,,,,,,,,,0.5
US8746961072,,230.03718700000002,,,,,,,,,,,,,,0.5
BMG2109G1033,,2453.588354,,,,,,,,,,,,,,0.5
JP3659000008,,10822.08086,,,,,,,,,,,,,,0.9808472294053169
US8226341019,,1400.757308,,,,,,,,,,,,,,0.5
CNE1000007Z2,,3197.560442,,,,,,,,,,,,,,0.5
BMG0957L1090,,2998.84803,,,,,,,,,,,,,,0.5
CA1363751027,,44217.53005,,,,,,,,,,,,,,4.007606522419648
JP3573000001,,8553.194364,,,,,,,,,,,,,,0.7752092322191882
US4851703029,,8039.776999,,,,,,,,,,,,,,0.7286762219318459
US48242W1062,,2425.360874,,,,,,,,,,,,,,0.5
HK0392044647,,3050.7605949999997,,,,,,,,,,,,,,0.5
KYG3066L1014,,4016.1102490000003,,,,,,,,,,,,,,0.5
FR0000130452,,4635.022666,,,,,,,,,,,,,,0.5
CA94106B1013,,2566.87252,,,,,,,,,,,,,,0.5
HK0003000038,,13196.29475,,,,,,,,,,,,,,1.1960314574801123
US4435106079,,5787.707582,,,,,,,,,,,,,,0.5245624219456114
US5339001068,,3423.972029,,,,,,,,,,,,,,0.5
DE0006070006,,2345.5200600000003,,,,,,,,,,,,,,0.5
US68235P1084,,2592.140979,,,,,,,,,,,,,,0.5
US7496851038,,5776.699692,,,,,,,,,,,,,,0.5235647341120262
US7185492078,,1024.4240539999998,,,,,,,,,,,,,,0.5
US0495601058,,6356.820085,,,,,,,,,,,,,,0.5761432989515032
US7739031091,,13450.160919999998,,,,,,,,,,,,,,1.2190403346734617
US7607591002,,15256.9051,,,,,,,,,,,,,,1.3827925784537936
US1264081035,,25210.358369999998,,,,,,,,,,,,,,2.284912714977592
HK0270001396,,3979.083775,,,,,,,,,,,,,,0.5
HK0066009694,,7041.318420999999,,,,,,,,,,,,,,0.6381820422471386
US3119001044,,11268.17662,,,,,,,,,,,,,,1.0212786211039981
US2243991054,,2366.717873,,,,,,,,,,,,,,0.5
US7595091023,,4006.127403,,,,,,,,,,,,,,0.5
US6558441084,,25178.2916,,,,,,,,,,,,,,2.2820063790411527
US9078181081,,66679.81477000001,,,,,,,,,,,,,,6.0
US6460251068,,2796.5731140000003,,,,,,,,,,,,,,0.5
US8448951025,,2586.074285,,,,,,,,,,,,,,0.5
US94106L1098,,23748.79213,,,,,,,,,,,,,,2.1524452888289813
US8168511090,,22091.214630000002,,,,,,,,,,,,,,2.0022126007321024
FR0000125486,,34784.2688,,,,,,,,,,,,,,3.1526334094836734
US8581191009,,4132.848204,,,,,,,,,,,,,,0.5
US84857L1017,,2490.73612,,,,,,,,,,,,,,0.5
US26885B1008,,4115.96647,,,,,,,,,,,,,,0.5
US6703461052,,12824.74245,,,,,,,,,,,,,,1.1623562291438336
DE0007236101,,78034.12608999999,,,,,,,,,,,,,,6.0
CA4932711001,,4849.855616,,,,,,,,,,,,,,0.5
IE00BLS09M33,,7873.997947,,,,,,,,,,,,,,0.7136510224391451
SE0000113250,,7088.64243,,,,,,,,,,,,,,0.6424712010246866
US2910111044,,30949.50452,,,,,,,,,,,,,,2.805073825692088
US5526901096,,3539.613782,,,,,,,,,,,,,,0.5
IE00B8KQN827,,24006.29248,,,,,,,,,,,,,,2.1757835458736063
US65473P1057,,6180.427622,,,,,,,,,,,,,,0.5601561647894387
US5590801065,,15417.71356,,,,,,,,,,,,,,1.3973672738840341
US55336V1008,,3129.7282440000004,,,,,,,,,,,,,,0.5
FR0000120503,,7574.768370999999,,,,,,,,,,,,,,0.6865306835345873
ES0167050915,,5210.286985,,,,,,,,,,,,,,0.5
CA29250N1050,,28331.19435,,,,,,,,,,,,,,2.567766203508211
CA87807B1076,,23053.71546,,,,,,,,,,,,,,2.0894477900287582
ES0130960018,,6198.137887,,,,,,,,,,,,,,0.561761314906316
US2937921078,,33522.479830000004,,,,,,,,,,,,,,3.0382725733996336
FR0010208488,,27143.48609,,,,,,,,,,,,,,2.460119589956405
CA7063271034,,7669.214636,,,,,,,,,,,,,,0.6950907154315333
US16411Q1013,,196.9993007,,,,,,,,,,,,,,0.5
IT0003153415,,11202.395390000001,,,,,,,,,,,,,,1.0153166126855566
AU000000CIM7,,1800.83013,,,,,,,,,,,,,,0.5
CA45833V1094,,5340.970754999999,,,,,,,,,,,,,,0.5
US29273V1008,,10385.33808,,,,,,,,,,,,,,0.9412635346180117
US9694571004,,19240.66469,,,,,,,,,,,,,,1.7438561860000008
US6826801036,,5111.343205,,,,,,,,,,,,,,0.5
US7265031051,,9067.671323,,,,,,,,,,,,,,0.8218382776270068
US23311P1003,,2276.719056,,,,,,,,,,,,,,0.5
AU000000WOR2,,690.3597566000001,,,,,,,,,,,,,,0.5
US49456B1017,,28813.502999999997,,,,,,,,,,,,,,2.6114797101055647
US2924801002,,358.1365137,,,,,,,,,,,,,,0.5
