ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),Weight,Cap
CH0114405324,,16159.671040000001,,,,,,Pure Play,,,,,,,,,,,,6.0,1
NL0000226223,,15596.476190000001,,,,,,Pure Play,,,,,,,,,,,,6.0,1
US2521311074,,14172.843,,,,,,Pure Play,,,,,,,,,,,,6.0,1
US83088M1027,,13097.112959999999,,,,,,Pure Play,,,,,,,,,,,,6.0,1
US2328061096,,8160.3282,,,,,,Pure Play,,,,,,,,,,,,6.0,1
GB00BFMBMT84,,7829.405640000001,,,,,,Pure Play,,,,,,,,,,,,6.0,1
TW0002395001,,5819.182059000001,,,,,,Pure Play,,,,,,,,,,,,4.5,1
US00090Q1031,,4737.3301200000005,,,,,,Pure Play,,,,,,,,,,,,3.79926102008254,0
US8269191024,,4292.4926399999995,,,,,,Pure Play,,,,,,,,,,,,3.442508660583526,0
AT0000A18XM4,,3007.687398,,,,,,Pure Play,,,,,,,,,,,,2.412115939223353,0
US0116421050,,2594.03211,,,,,,Pure Play,,,,,,,,,,,,2.0803711860311442,0
NL0009538784,,27950.00175,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US4592001014,,123110.3806,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
KYG9830T1067,,30534.01444,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US17275R1023,,245756.8815,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US4581401001,,211269.63,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US4385161066,,128293.6372,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US2910111044,,40263.7562,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US7475251036,,88429.94526000001,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
FR0000121972,,51184.67542,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
CH0012221716,,42850.78452,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US0326541051,,41620.298160000006,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
IE00BY7QL619,,35653.3393,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
CH0371153492,,2481.95301,,,,,,Pure Play,,,,,,,,,,,,1.9904855869680307,0
US4657411066,,2459.70599,,,,,,Pure Play,,,,,,,,,,,,1.9726438419855217,0
US0774541066,,2366.90545,,,,,,Pure Play,,,,,,,,,,,,1.8982193316951963,0
US45867G1013,,2057.93588,,,,,,Pure Play,,,,,,,,,,,,1.6504308065221471,0
US7739031091,,19298.9241,,,,,,Quasi Play,,,,,,,,,,,,1.3873234419982459,0
FR0010307819,,19219.77447,,,,,,Quasi Play,,,,,,,,,,,,1.3816336876598432,0
US0565251081,,1699.44255,,,,,,Pure Play,,,,,,,,,,,,1.3629250384781446,0
KYG037AX1015,,1439.5778,,,,,,Pure Play,,,,,,,,,,,,1.1545177731705514,0
TW0002454006,,15786.52552,,,,,,Quasi Play,,,,,,,,,,,,1.1348309785621442,0
US7509171069,,1299.46611,,,,,,Pure Play,,,,,,,,,,,,1.0421504969219435,0
IT0004053440,,1131.7617480000001,,,,,,Pure Play,,,,,,,,,,,,0.9076543505051067,0
US33812L1026,,1020.2407199999999,,,,,,Pure Play,,,,,,,,,,,,0.8182163160284353,0
TW0003529004,,872.9567716,,,,,,Pure Play,,,,,,,,,,,,0.7000970062345956,0
US64111Q1040,,863.5106400000001,,,,,,Pure Play,,,,,,,,,,,,0.6925213636955763,0
NO0003055501,,793.160355,,,,,,Pure Play,,,,,,,,,,,,0.6361015895228196,0
JP3164720009,,8293.846769,,,,,,Quasi Play,,,,,,,,,,,,0.5962118917797655,0
JP3725200004,,697.1140809999999,,,,,,Pure Play,,,,,,,,,,,,0.5590740538246387,0
US21240D1072,,635.3568700000001,,,,,,Pure Play,,,,,,,,,,,,0.5095457839937593,0
US4532041096,,577.32884,,,,,,Pure Play,,,,,,,,,,,,0.4630082561317195,0
US68555P1003,,574.24045,,,,,,Pure Play,,,,,,,,,,,,0.4605314180299634,0
CA8265161064,,433.45049000000006,,,,,,Pure Play,,,,,,,,,,,,0.3476201803712757,0
US04206A1016,,301.42385,,,,,,Pure Play,,,,,,,,,,,,0.3,1
US81727U1051,,361.09632,,,,,,Pure Play,,,,,,,,,,,,0.3,1
US76118Y1047,,2603.694,,,,,,Quasi Play,,,,,,,,,,,,0.3,1
GB0004726096,,1145.213687,,,,,,Quasi Play,,,,,,,,,,,,0.3,1
US3665051054,,1140.2976199999998,,,,,,Quasi Play,,,,,,,,,,,,0.3,1
SE0008374250,,610.7466588999999,,,,,,Quasi Play,,,,,,,,,,,,0.3,1
JP3128620006,,169.8644172,,,,,,Quasi Play,,,,,,,,,,,,0.3,1
